umap1,umap2,metric,quartile
-1.9713118,10.066183,0.105,3
0.48244336,9.715731,0.107,3
-0.53571486,15.199665,0.141,3
-0.06173371,7.847153,0.088,2
0.54949045,-6.15333,0.089,2
0.6856194,-4.8724904,0.036,1
-2.3387053,10.117807,0.088,2
18.287968,8.530975,0.0,0
1.4084959,6.356448,0.136,3
0.8453182,-4.94557,0.02,1
-0.546623,-3.9716604,-0.153,0
1.7253758,-7.0429053,0.066,2
-0.77615297,-2.8359299,-0.02,0
0.29467827,-4.8613515,-0.077,0
18.047972,8.451409,0.0,0
-0.86168855,15.12528,0.093,2
18.203043,8.268161,0.0,0
18.23632,8.399885,0.0,0
-2.0755181,1.1123397,-0.028,0
18.039892,8.599334,0.0,0
-0.92044204,-2.7299,-0.015,0
-0.94732153,-0.16420113,0.06,1
18.23424,8.519478,0.0,0
-1.3254352,10.628348,0.115,3
-1.8991108,1.6460812,-0.014,0
-4.027439,9.454252,0.101,3
1.3501432,-5.0643573,-0.016,0
18.372643,8.391038,0.0,0
17.960377,8.616877,0.0,0
18.504988,8.4474,0.0,0
2.979502,-4.953877,0.067,2
18.255611,8.386957,0.0,0
18.396353,8.600933,0.0,0
-0.18630038,12.511259,0.075,2
-0.025641361,15.479859,0.133,3
0.23372729,14.229302,0.138,3
0.7546792,12.209156,0.113,3
1.1902735,13.208063,0.078,2
-3.4676323,-1.7167951,0.015,1
-1.1408452,10.723003,0.052,1
0.6356158,10.678856,0.122,3
1.1814333,6.61566,0.048,1
-0.24717243,13.49826,0.147,3
-4.882968,3.6727388,0.095,2
-2.8935392,5.202892,0.069,2
-0.75643694,13.859993,0.081,2
0.85339546,-5.6650567,-0.033,0
-2.5299172,9.97594,0.102,3
-4.3703012,-1.6240263,0.063,2
-2.580471,11.830132,0.1,3
-2.3209507,1.6722444,0.034,1
-3.115017,0.26002237,0.027,1
-0.97970706,-0.07793694,-0.039,0
-1.9303861,5.4835134,0.044,1
-3.0866742,-1.0976287,0.047,1
-1.6701058,11.031295,0.102,3
-0.576482,6.433884,0.072,2
-4.0613766,3.5332806,0.077,2
-3.44877,11.629843,0.113,3
-3.1404643,0.97990966,0.057,1
18.15464,8.47491,0.0,0
1.4691314,-7.0086937,0.057,1
-3.2197454,12.011479,0.058,1
18.393246,8.433649,0.0,0
-0.07005158,6.1165886,0.076,2
-4.4175415,-1.7539705,0.047,1
-0.35887048,-7.08396,0.076,2
-0.28813565,7.60644,0.107,3
18.210121,8.276687,0.0,0
-1.49985,0.035637982,0.074,2
-3.523261,0.42601153,0.038,1
-4.1658344,-0.23534247,0.11,3
0.10401692,-2.7464738,-0.03,0
18.206078,8.607187,0.0,0
18.425825,8.649221,0.0,0
1.7687572,-4.8878284,0.101,3
18.452902,8.4400215,0.0,0
-1.6764469,0.8347916,0.025,1
-2.6049314,10.42376,0.093,2
-3.1352248,0.6823554,0.045,1
18.079525,8.517762,0.0,0
18.217218,8.400317,0.0,0
1.726828,-3.6065717,-0.179,0
-0.7600336,5.9772167,0.131,3
-2.5227168,4.955641,0.062,2
18.371273,8.392436,0.0,0
2.1185997,5.0696597,0.121,3
1.0279866,12.0457535,0.107,3
1.5046732,12.082268,0.119,3
