id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,umap1,umap2,metric_value,quartile
1362,2012,40,40,POR,Will Barton,Memphis,10.0,623.0,16123.0,7246.0,2655.0,1705.0,0.433,0.354,0.787,25.9,11.6,4.3,2.7,26.0,0.077,-0.3,7.1,9.506536,2.2004538,-0.3,2
1365,2012,43,43,ATL,Mike Scott,Virginia,9.0,555.0,9182.0,3736.0,1727.0,499.0,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.7,0.6,6.3172064,1.8574809,-1.7,2
1367,2012,45,45,PHI,Justin Hamilton,LSU,3.0,113.0,1961.0,687.0,403.0,91.0,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.9,0.5,2.3056254,0.79455644,-0.9,2
1386,2013,4,4,CHA,Cody Zeller,Indiana,9.0,494.0,10973.0,4202.0,2949.0,691.0,0.52,0.221,0.731,22.2,8.5,6.0,1.4,32.1,0.14,-0.6,4.0,6.0745115,4.070536,-0.6,2
1387,2013,5,5,PHO,Alex Len,Maryland,9.0,570.0,10769.0,4371.0,3341.0,489.0,0.507,0.329,0.683,18.9,7.7,5.9,0.9,21.6,0.096,-1.9,0.2,6.5434823,3.2272868,-1.9,2
1390,2013,8,8,DET,Kentavious Caldwell-Pope,Georgia,9.0,683.0,19974.0,7911.0,2148.0,1150.0,0.421,0.36,0.813,29.2,11.6,3.1,1.7,34.6,0.083,-0.8,6.0,9.043241,2.4727232,-0.8,2
1391,2013,9,9,MIN,Trey Burke,Michigan,9.0,498.0,10401.0,4792.0,878.0,1522.0,0.41,0.345,0.81,20.9,9.6,1.8,3.1,12.9,0.06,-1.3,1.7,8.301021,0.57850546,-1.3,2
1393,2013,11,11,PHI,Michael Carter-Williams,Syracuse,8.0,391.0,9898.0,4023.0,1713.0,1701.0,0.402,0.255,0.706,25.3,10.3,4.4,4.4,6.6,0.032,-1.2,1.9,6.3276525,1.0212169,-1.2,2
1399,2013,17,17,ATL,Dennis Schröder,International,9.0,621.0,16447.0,8806.0,1829.0,2907.0,0.436,0.338,0.833,26.5,14.2,2.9,4.7,23.4,0.068,-1.2,3.4,10.676713,1.7662333,-1.2,2
1406,2013,24,24,NYK,Tim Hardaway Jr.,Michigan,9.0,586.0,15837.0,8149.0,1650.0,1095.0,0.422,0.358,0.812,27.0,13.9,2.8,1.9,25.8,0.078,-0.8,4.8,8.875217,2.1082335,-0.8,2
1407,2013,25,25,LAC,Reggie Bullock,UNC,9.0,434.0,9775.0,3382.0,1095.0,524.0,0.427,0.385,0.842,22.5,7.8,2.5,1.2,18.1,0.089,-0.8,3.0,6.313916,0.0707571,-0.8,2
1408,2013,26,26,MIN,Andre Roberson,Colorado,7.0,307.0,6801.0,1382.0,1230.0,265.0,0.473,0.253,0.468,22.2,4.5,4.0,0.9,12.6,0.089,-0.6,2.3,2.9602623,3.9375353,-0.6,2
1413,2013,31,31,CLE,Allen Crabbe,California,7.0,381.0,9125.0,3453.0,1073.0,434.0,0.425,0.387,0.831,24.0,9.1,2.8,1.1,13.7,0.072,-1.6,0.9,6.0200863,0.0066598905,-1.6,2
1414,2013,32,32,OKC,Álex Abrines,International,3.0,174.0,2777.0,924.0,248.0,88.0,0.387,0.368,0.88,16.0,5.3,1.4,0.5,5.0,0.086,-1.9,0.1,2.640368,-1.7505646,-1.9,2
1429,2013,47,47,ATL,Raul Neto,International,7.0,387.0,6260.0,2313.0,612.0,834.0,0.455,0.366,0.804,16.2,6.0,1.6,2.2,10.1,0.077,-1.6,0.6,5.2108426,0.021648066,-1.6,2
1432,2013,50,50,ATL,James Ennis III,Cal State Long Beach,8.0,395.0,8022.0,2629.0,1306.0,373.0,0.457,0.36,0.797,20.3,6.7,3.3,0.9,16.2,0.097,-1.5,0.9,5.4699802,0.80485266,-1.5,2
1443,2014,1,1,CLE,Andrew Wiggins,Kansas,8.0,598.0,20935.0,11519.0,2649.0,1393.0,0.448,0.35,0.723,35.0,19.3,4.4,2.3,24.0,0.055,-1.5,2.6,9.630649,2.9267595,-1.5,2
1444,2014,2,2,MIL,Jabari Parker,Duke,8.0,310.0,8535.0,4380.0,1703.0,610.0,0.494,0.326,0.743,27.5,14.1,5.5,2.0,13.8,0.078,-0.8,2.5,5.175887,2.2655652,-0.8,2
1448,2014,6,6,BOS,Marcus Smart,Oklahoma State,8.0,520.0,15484.0,5438.0,1867.0,2318.0,0.382,0.321,0.78,29.8,10.5,3.6,4.5,29.5,0.092,-0.2,7.2,9.883645,0.9020133,-0.2,2
1452,2014,10,10,PHI,Elfrid Payton,Louisiana,8.0,500.0,13383.0,5036.0,2007.0,2868.0,0.447,0.287,0.623,26.8,10.1,4.0,5.7,15.8,0.057,-0.9,3.7,10.052956,0.95789963,-0.9,2
1453,2014,11,11,DEN,Doug McDermott,Creighton,8.0,527.0,11012.0,4846.0,1236.0,496.0,0.476,0.409,0.82,20.9,9.2,2.3,0.9,19.2,0.084,-1.9,0.4,6.453914,0.7836545,-1.9,2
1454,2014,12,12,ORL,Dario Šarić,International,5.0,356.0,8965.0,4180.0,2086.0,699.0,0.441,0.357,0.838,25.2,11.7,5.9,2.0,16.4,0.088,-0.8,2.6,6.187764,0.5710594,-0.8,2
1456,2014,14,14,PHO,T.J. Warren,NC State,7.0,332.0,9553.0,5142.0,1372.0,397.0,0.507,0.357,0.78,28.8,15.5,4.1,1.2,19.6,0.099,-0.2,4.2,5.409404,1.9030167,-0.2,2
1461,2014,19,19,CHI,Gary Harris,Michigan State,8.0,468.0,13473.0,5526.0,1162.0,965.0,0.448,0.363,0.812,28.8,11.8,2.5,2.1,20.8,0.074,-1.4,2.1,7.459061,0.99800175,-1.4,2
1465,2014,23,23,UTA,Rodney Hood,Duke,8.0,448.0,10977.0,4656.0,1160.0,736.0,0.42,0.366,0.841,24.5,10.4,2.6,1.6,17.4,0.076,-1.2,2.2,6.836634,0.3973115,-1.2,2
1466,2014,24,24,CHH,Shabazz Napier,UConn,6.0,345.0,5986.0,2433.0,657.0,849.0,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,-0.7,2.0,4.6887307,-0.8886536,-0.7,2
1475,2014,33,33,CLE,Joe Harris,Virginia,8.0,414.0,10601.0,4584.0,1344.0,679.0,0.483,0.439,0.78,25.6,11.1,3.2,1.6,20.5,0.093,-0.5,3.9,6.3176527,1.0015931,-0.5,2
1481,2014,39,39,PHI,Jerami Grant,Syracuse,8.0,555.0,14454.0,6329.0,2189.0,747.0,0.452,0.349,0.723,26.0,11.4,3.9,1.3,28.1,0.093,-0.4,5.7,7.368237,2.487689,-0.4,2
1482,2014,40,40,MIN,Glenn Robinson III,Michigan,7.0,304.0,5299.0,1804.0,776.0,238.0,0.457,0.373,0.779,17.4,5.9,2.6,0.8,7.9,0.071,-1.7,0.4,3.7297986,0.78618264,-1.7,2
1485,2014,43,43,ATL,Edy Tavares,International,2.0,13.0,101.0,33.0,32.0,4.0,0.625,0.0,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.4,0.0,1.5446496,10.447884,-0.4,2
1488,2014,46,46,WAS,Jordan Clarkson,Missouri,8.0,600.0,16191.0,9216.0,1971.0,1526.0,0.439,0.338,0.827,27.0,15.4,3.3,2.5,21.7,0.064,-0.5,6.2,9.447797,2.121521,-0.5,2
1511,2015,9,9,CHO,Frank Kaminsky,Wisconsin,7.0,377.0,7925.0,3541.0,1527.0,619.0,0.429,0.348,0.743,21.0,9.4,4.1,1.6,15.2,0.092,-0.3,3.4,5.3064446,1.561312,-0.3,2
1514,2015,12,12,UTA,Trey Lyles,Kentucky,7.0,449.0,8217.0,3503.0,1953.0,477.0,0.441,0.338,0.737,18.3,7.8,4.3,1.1,14.5,0.085,-1.0,2.0,5.7480617,1.8120137,-1.0,2
1516,2015,14,14,OKC,Cameron Payne,Murray State,7.0,279.0,4994.0,2132.0,624.0,905.0,0.421,0.362,0.83,17.9,7.6,2.2,3.2,8.2,0.079,-0.4,2.0,4.565171,-1.0298833,-0.4,2
1517,2015,15,15,ATL,Kelly Oubre Jr.,Kansas,7.0,479.0,12061.0,5769.0,2074.0,484.0,0.434,0.331,0.749,25.2,12.0,4.3,1.0,17.6,0.07,-1.8,0.5,7.17184,1.8075118,-1.8,2
1520,2015,18,18,HOU,Sam Dekker,Wisconsin,5.0,201.0,3097.0,1094.0,607.0,160.0,0.478,0.288,0.606,15.4,5.4,3.0,0.8,5.4,0.083,-1.4,0.5,2.8881145,3.208684,-1.4,2
1521,2015,19,19,WAS,Jerian Grant,Notre Dame,5.0,279.0,4998.0,1692.0,530.0,805.0,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5,4.345839,-0.1829073,-1.6,2
1523,2015,21,21,DAL,Justin Anderson,Virginia,6.0,242.0,3280.0,1284.0,621.0,184.0,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,-1.5,0.4,2.7930079,-0.050664112,-1.5,2
1524,2015,22,22,CHI,Bobby Portis,Arkansas,7.0,453.0,9837.0,5021.0,2995.0,537.0,0.47,0.383,0.752,21.7,11.1,6.6,1.2,21.1,0.103,-0.6,3.5,6.89536,2.382158,-0.6,2
1525,2015,23,23,POR,Rondae Hollis-Jefferson,Arizona,6.0,305.0,6759.0,2760.0,1684.0,579.0,0.449,0.212,0.735,22.2,9.0,5.5,1.9,12.9,0.091,-0.7,2.3,4.377087,3.383553,-0.7,2
1532,2015,30,30,GSW,Kevon Looney,UCLA,7.0,367.0,6014.0,1721.0,1750.0,498.0,0.567,0.172,0.606,16.4,4.7,4.8,1.4,20.4,0.163,-0.2,2.7,5.2762046,4.4571686,-0.2,2
1542,2015,40,40,MIA,Josh Richardson,Tennessee,7.0,438.0,13032.0,5270.0,1377.0,1172.0,0.428,0.365,0.839,29.8,12.0,3.1,2.7,23.8,0.088,-0.4,5.2,7.6949306,0.7987301,-0.4,2
1550,2015,48,48,OKC,Dakari Johnson,Kentucky,1.0,31.0,161.0,55.0,34.0,8.0,0.564,0.0,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1,2.0923197,9.2201805,-0.3,2
1564,2016,2,2,LAL,Brandon Ingram,Duke,6.0,368.0,12080.0,6812.0,1896.0,1412.0,0.461,0.36,0.769,32.8,18.5,5.2,3.8,18.7,0.074,-0.3,5.2,7.6754637,1.2198433,-0.3,2
1574,2016,12,12,UTA,Taurean Prince,Baylor,6.0,370.0,8936.0,3899.0,1442.0,647.0,0.416,0.371,0.815,24.2,10.5,3.9,1.7,8.3,0.045,-1.8,0.5,6.037343,0.132362,-1.8,2
1576,2016,14,14,CHI,Denzel Valentine,Michigan State,5.0,256.0,4817.0,1795.0,857.0,466.0,0.394,0.36,0.787,18.8,7.0,3.3,1.8,4.5,0.044,-1.9,0.2,3.7941468,-0.2814417,-1.9,2
1577,2016,15,15,DEN,Juancho Hernangómez,International,6.0,297.0,4655.0,1589.0,1008.0,191.0,0.428,0.351,0.681,15.7,5.4,3.4,0.6,8.1,0.083,-1.8,0.3,3.4892194,1.5529876,-1.8,2
1578,2016,16,16,BOS,Guerschon Yabusele,International,2.0,74.0,486.0,173.0,105.0,31.0,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0.0,1.2024857,1.5947559,-1.9,2
1581,2016,19,19,DEN,Malik Beasley,Florida State,6.0,336.0,7026.0,3488.0,825.0,418.0,0.43,0.386,0.816,20.9,10.4,2.5,1.2,10.5,0.071,-0.9,2.0,5.6249213,-0.26414028,-0.9,2
1582,2016,20,20,IND,Caris LeVert,Michigan,6.0,318.0,8761.0,4649.0,1216.0,1257.0,0.437,0.333,0.737,27.6,14.6,3.8,4.0,11.9,0.065,-0.5,3.3,6.5109878,0.845181,-0.5,2
1587,2016,25,25,LAC,Brice Johnson,UNC,2.0,21.0,107.0,47.0,34.0,3.0,0.449,0.0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0.0,0.6807612,8.1202135,-0.6,2
1588,2016,26,26,PHI,Furkan Korkmaz,International,5.0,256.0,4794.0,2016.0,574.0,344.0,0.405,0.355,0.769,18.7,7.9,2.2,1.3,7.1,0.071,-1.8,0.3,3.7207482,-0.069878004,-1.8,2
